Anonymous_ID,Filename,Relative_Path,Extension,Image_Format,Image_Mode,Channels,Bit_Depth,File_Size_Bytes,File_Size_KB,File_Size_MB,Width,Height,Aspect_Ratio,Total_Pixels,Intensity_Min,Intensity_Max,Intensity_Range_MaxMin,Intensity_Mean,Intensity_Median,Intensity_SD,Intensity_Q1,Intensity_Q3,Intensity_IQR,Intensity_P1,Intensity_P5,Intensity_P95,Intensity_P99,Robust_Range_P95_P5,Robust_Range_P99_P1,Entropy,RMS_Contrast,Laplacian_Variance,Dark_Pixel_Ratio_Percent,Bright_Pixel_Ratio_Percent
P0253,P0253_02.jpg,P0253_02.jpg,.jpg,JPEG,L,1,8-bit,405824,396.312,0.38702,2032,2439,0.833128,4956048,0.0,255.0,255.0,28.60323406875801,3.0,53.9725388997,1.0,22.0,21.0,0.0,0.0,166.0,202.0,166.0,202.0,4.591840744018555,53.9725388997,42.196519965276316,72.90649727363416,0.05663786952830158
P0253,P0253_03.jpg,P0253_03.jpg,.jpg,JPEG,L,1,8-bit,480226,468.971,0.45798,2032,2439,0.833128,4956048,0.0,255.0,255.0,33.723917322834644,12.0,50.94679758199453,10.0,20.0,10.0,0.0,2.0,168.0,206.0,166.0,206.0,5.120638847351074,50.94679758199453,49.1609172824295,61.71126671896641,0.07237621588814314
P0254,P0254_01.jpg,P0254_01.jpg,.jpg,JPEG,L,1,8-bit,550866,537.955,0.52535,2032,2439,0.833128,4956048,0.0,255.0,255.0,40.932467361090936,6.0,61.896559325714755,0.0,64.0,64.0,0.0,0.0,172.0,196.0,172.0,196.0,5.39652156829834,61.896559325714755,48.61015861661361,58.70939910186503,0.05607290324871752
P0254,P0254_02.jpg,P0254_02.jpg,.jpg,JPEG,L,1,8-bit,617356,602.887,0.58876,2032,2439,0.833128,4956048,0.0,255.0,255.0,54.42483466665375,22.0,59.979870327082146,15.0,103.0,88.0,0.0,0.0,173.0,207.0,173.0,207.0,6.349783420562744,59.979870327082146,44.899565697079794,19.364158700642125,0.004681149173696462
P0255,P0255_01.jpg,P0255_01.jpg,.jpg,JPEG,L,1,8-bit,535873,523.313,0.51105,1736,2439,0.711767,4234104,0.0,255.0,255.0,43.67047739025777,13.0,57.52344040868585,11.0,50.0,39.0,0.0,5.0,173.0,200.0,168.0,200.0,5.913496971130371,57.52344040868585,61.60205582838928,42.44869752844994,0.07834006911497687
P0255,P0255_02.jpg,P0255_02.jpg,.jpg,JPEG,L,1,8-bit,561119,547.968,0.53512,1816,2439,0.744567,4429224,0.0,255.0,255.0,45.927124480495905,14.0,57.900592640369204,11.0,58.0,47.0,0.0,4.0,175.0,202.0,171.0,202.0,6.016539573669434,57.900592640369204,52.069877349255364,35.423247954946504,0.07452772765613118
P0256,P0256_01.jpg,P0256_01.jpg,.jpg,JPEG,L,1,8-bit,898804,877.738,0.85717,2608,2324,1.122203,6060992,0.0,255.0,255.0,50.37773206102236,11.0,63.837276274293934,5.0,101.0,96.0,0.0,0.0,175.0,196.0,175.0,196.0,6.294487953186035,63.837276274293934,75.22648653340018,54.13315180089332,0.05084976188716303
P0257,P0257_01.jpg,P0257_01.jpg,.jpg,JPEG,L,1,8-bit,1068539,1043.495,1.01904,2848,2439,1.167692,6946272,0.0,255.0,255.0,53.71669306931833,15.0,63.03852673782302,8.0,112.0,104.0,0.0,0.0,173.0,192.0,173.0,192.0,6.551323890686035,63.03852673782302,81.57845512404434,43.80801673185271,0.04275674779219702
P0257,P0257_02.jpg,P0257_02.jpg,.jpg,JPEG,L,1,8-bit,673513,657.728,0.64231,2032,2439,0.833128,4956048,0.0,255.0,255.0,50.074339271936026,21.0,50.323706249654414,19.0,71.0,52.0,0.0,10.0,159.0,183.0,149.0,183.0,6.193070411682129,50.323706249654414,50.486132445124106,8.007932933660044,0.06382101222587029
P0257,P0257_03.jpg,P0257_03.jpg,.jpg,JPEG,L,1,8-bit,677447,661.569,0.64606,2032,2439,0.833128,4956048,0.0,255.0,255.0,67.80193069155101,19.0,74.78520594015797,14.0,138.0,124.0,0.0,7.0,208.0,227.0,201.0,227.0,6.493646621704102,74.78520594015797,64.09491809822366,15.874725184259717,0.17883200485548165
P0258,P0258_01.jpg,P0258_01.jpg,.jpg,JPEG,L,1,8-bit,1411701,1378.614,1.3463,2276,2800,0.812857,6372800,0.0,255.0,255.0,63.120991400954054,18.0,68.17338945556918,9.0,132.0,123.0,0.0,0.0,186.0,209.0,186.0,209.0,6.795193672180176,68.17338945556918,432.6650531940857,38.436370198342956,0.02050903841325634
P0258,P0258_02.jpg,P0258_02.jpg,.jpg,JPEG,L,1,8-bit,720028,703.152,0.68667,2032,2439,0.833128,4956048,0.0,255.0,255.0,42.076957083547214,11.0,55.116091112685645,7.0,62.0,55.0,0.0,0.0,164.0,193.0,164.0,193.0,6.247875213623047,55.116091112685645,64.49654851105835,54.9682529305608,0.0007263852166080716
P0258,P0258_03.jpg,P0258_03.jpg,.jpg,JPEG,L,1,8-bit,709312,692.688,0.67645,2032,2439,0.833128,4956048,0.0,255.0,255.0,50.95126943887549,9.0,68.78270962297728,7.0,84.0,77.0,0.0,0.0,193.0,214.0,193.0,214.0,5.946646690368652,68.78270962297728,82.70693291790744,60.86327251067786,0.06347799698469425
