Width,Height,Count,Percent
2032,2439,444,49.44320712694877
1628,2032,13,1.447661469933185
2440,2032,12,1.3363028953229399
2848,2439,8,0.8908685968819599
2032,2438,4,0.4454342984409799
1612,2439,3,0.33407572383073497
1832,2439,3,0.33407572383073497
2440,2845,3,0.33407572383073497
1604,2439,2,0.22271714922048996
1816,2439,2,0.22271714922048996
1628,2251,2,0.22271714922048996
1628,2183,2,0.22271714922048996
2032,2553,2,0.22271714922048996
2032,2497,2,0.22271714922048996
1508,2439,2,0.22271714922048996
1692,2439,2,0.22271714922048996
2328,2928,2,0.22271714922048996
2440,1242,2,0.22271714922048996
2440,1353,2,0.22271714922048996
2440,1435,2,0.22271714922048996
2440,1578,2,0.22271714922048996
2440,1663,2,0.22271714922048996
2440,1736,2,0.22271714922048996
2456,2968,2,0.22271714922048996
2700,2473,1,0.11135857461024498
2712,1217,1,0.11135857461024498
2728,2032,1,0.11135857461024498
2752,1944,1,0.11135857461024498
1384,2394,1,0.11135857461024498
1388,2439,1,0.11135857461024498
1392,2032,1,0.11135857461024498
1392,2347,1,0.11135857461024498
1396,2199,1,0.11135857461024498
1416,2218,1,0.11135857461024498
1432,2439,1,0.11135857461024498
1440,2431,1,0.11135857461024498
1456,2379,1,0.11135857461024498
1456,2592,1,0.11135857461024498
1472,2357,1,0.11135857461024498
1476,2162,1,0.11135857461024498
1480,2173,1,0.11135857461024498
1480,2440,1,0.11135857461024498
1484,2195,1,0.11135857461024498
1488,2315,1,0.11135857461024498
1488,2439,1,0.11135857461024498
1496,2250,1,0.11135857461024498
1504,2296,1,0.11135857461024498
1516,2439,1,0.11135857461024498
1528,2077,1,0.11135857461024498
1540,2352,1,0.11135857461024498
1540,2464,1,0.11135857461024498
1548,2507,1,0.11135857461024498
1564,2439,1,0.11135857461024498
1580,2576,1,0.11135857461024498
1588,2228,1,0.11135857461024498
1588,2438,1,0.11135857461024498
1592,2353,1,0.11135857461024498
1600,2333,1,0.11135857461024498
1604,2143,1,0.11135857461024498
1604,2450,1,0.11135857461024498
2612,1336,1,0.11135857461024498
1616,2361,1,0.11135857461024498
1628,2083,1,0.11135857461024498
1628,2088,1,0.11135857461024498
1628,2108,1,0.11135857461024498
1628,2138,1,0.11135857461024498
1628,2150,1,0.11135857461024498
1628,2159,1,0.11135857461024498
1628,2166,1,0.11135857461024498
1628,2170,1,0.11135857461024498
1628,2187,1,0.11135857461024498
1628,2190,1,0.11135857461024498
1628,2204,1,0.11135857461024498
1628,2209,1,0.11135857461024498
1628,2224,1,0.11135857461024498
1628,2234,1,0.11135857461024498
1628,2247,1,0.11135857461024498
1628,2280,1,0.11135857461024498
1628,2290,1,0.11135857461024498
1628,2300,1,0.11135857461024498
1628,2303,1,0.11135857461024498
1628,2311,1,0.11135857461024498
1628,2318,1,0.11135857461024498
1628,2404,1,0.11135857461024498
1628,2466,1,0.11135857461024498
1628,2517,1,0.11135857461024498
1628,2530,1,0.11135857461024498
1632,2171,1,0.11135857461024498
1632,2487,1,0.11135857461024498
1640,2439,1,0.11135857461024498
1640,2488,1,0.11135857461024498
1640,2503,1,0.11135857461024498
1644,2439,1,0.11135857461024498
1648,2439,1,0.11135857461024498
1652,2439,1,0.11135857461024498
1660,2218,1,0.11135857461024498
1664,2273,1,0.11135857461024498
1672,2439,1,0.11135857461024498
1676,2316,1,0.11135857461024498
1684,2444,1,0.11135857461024498
1684,2454,1,0.11135857461024498
1684,2649,1,0.11135857461024498
1688,2268,1,0.11135857461024498
1700,2543,1,0.11135857461024498
1708,2408,1,0.11135857461024498
1708,2439,1,0.11135857461024498
1712,2495,1,0.11135857461024498
1716,2439,1,0.11135857461024498
1720,2574,1,0.11135857461024498
1736,2439,1,0.11135857461024498
1740,2439,1,0.11135857461024498
1744,2472,1,0.11135857461024498
1756,2143,1,0.11135857461024498
1756,2439,1,0.11135857461024498
1760,2439,1,0.11135857461024498
1772,2438,1,0.11135857461024498
1776,2455,1,0.11135857461024498
1780,2439,1,0.11135857461024498
1780,2589,1,0.11135857461024498
1784,2600,1,0.11135857461024498
1792,2331,1,0.11135857461024498
1792,2409,1,0.11135857461024498
1796,2439,1,0.11135857461024498
1800,2338,1,0.11135857461024498
1800,2488,1,0.11135857461024498
1808,2430,1,0.11135857461024498
1808,2439,1,0.11135857461024498
1828,2439,1,0.11135857461024498
1844,2282,1,0.11135857461024498
1844,2552,1,0.11135857461024498
1848,1523,1,0.11135857461024498
1864,2439,1,0.11135857461024498
1892,2439,1,0.11135857461024498
1896,2690,1,0.11135857461024498
1904,1121,1,0.11135857461024498
1908,2439,1,0.11135857461024498
1912,2439,1,0.11135857461024498
1928,2623,1,0.11135857461024498
1932,2439,1,0.11135857461024498
1936,2439,1,0.11135857461024498
1956,1096,1,0.11135857461024498
1964,2604,1,0.11135857461024498
1976,1256,1,0.11135857461024498
1980,2439,1,0.11135857461024498
1988,2489,1,0.11135857461024498
2004,1352,1,0.11135857461024498
2004,2499,1,0.11135857461024498
2004,2568,1,0.11135857461024498
2008,2529,1,0.11135857461024498
